time,P_l
2016-06-12 05:20:00+0000,14953.4
2016-06-12 05:25:00+0000,14923.7
2016-06-12 05:30:00+0000,15523.7
2016-06-12 05:35:00+0000,13494.067
2016-06-12 05:40:00+0000,14576.799
2016-06-12 05:45:00+0000,14847.404
2016-06-12 05:50:00+0000,13404.736
2016-06-12 05:55:00+0000,13848.537
2016-06-12 06:00:00+0000,13751.85
2016-06-12 06:05:00+0000,12979.64
2016-06-12 06:10:00+0000,13710.88
2016-06-12 06:15:00+0000,14202.72
2016-06-12 06:20:00+0000,15858.33
2016-06-12 06:25:00+0000,17164.77
2016-06-12 06:30:00+0000,16431.19
2016-06-12 06:35:00+0000,15496.38
2016-06-12 06:40:00+0000,15742.95
2016-06-12 06:45:00+0000,14998.37
2016-06-12 06:50:00+0000,14927.86
2016-06-12 06:55:00+0000,14960.75
2016-06-12 07:00:00+0000,16567.79
2016-06-12 07:05:00+0000,15568.54
2016-06-12 07:10:00+0000,15933.05
2016-06-12 07:15:00+0000,16106.32
2016-06-12 07:20:00+0000,16118.24
2016-06-12 07:25:00+0000,15806.66
2016-06-12 07:30:00+0000,15340.67
2016-06-12 07:35:00+0000,14424.47
2016-06-12 07:40:00+0000,16125.55
2016-06-12 07:45:00+0000,14776.99
2016-06-12 07:50:00+0000,14394.85
2016-06-12 07:55:00+0000,15004.0
2016-06-12 08:00:00+0000,14366.55
2016-06-12 08:05:00+0000,14504.66
2016-06-12 08:10:00+0000,13917.76
2016-06-12 08:15:00+0000,15046.76
2016-06-12 08:20:00+0000,14609.95
2016-06-12 08:25:00+0000,15573.34
2016-06-12 08:30:00+0000,16575.14
2016-06-12 08:35:00+0000,16790.06
2016-06-12 08:40:00+0000,16613.5
2016-06-12 08:45:00+0000,14771.006
2016-06-12 08:50:00+0000,15230.639
2016-06-12 08:55:00+0000,16276.814
2016-06-12 09:00:00+0000,20827.361
2016-06-12 09:05:00+0000,20216.781
2016-06-12 09:10:00+0000,20423.6
2016-06-12 09:15:00+0000,20567.2
2016-06-12 09:20:00+0000,21688.518
2016-06-12 09:25:00+0000,22572.212
2016-06-12 09:30:00+0000,20691.822
2016-06-12 09:35:00+0000,20228.413
2016-06-12 09:40:00+0000,19219.94
2016-06-12 09:45:00+0000,19738.57
2016-06-12 09:50:00+0000,20159.04
2016-06-12 09:55:00+0000,19482.82
2016-06-12 10:00:00+0000,20275.34
2016-06-12 10:05:00+0000,19483.63
2016-06-12 10:10:00+0000,18995.21
2016-06-12 10:15:00+0000,18920.36
2016-06-12 10:20:00+0000,19845.05
2016-06-12 10:25:00+0000,21018.47
2016-06-12 10:30:00+0000,18794.09
2016-06-12 10:35:00+0000,22213.85
2016-06-12 10:40:00+0000,22313.71
2016-06-12 10:45:00+0000,22203.89
2016-06-12 10:50:00+0000,21064.62
2016-06-12 10:55:00+0000,20848.97
2016-06-12 11:00:00+0000,23242.33
2016-06-12 11:05:00+0000,23619.96
2016-06-12 11:10:00+0000,22608.57
2016-06-12 11:15:00+0000,23974.85
2016-06-12 11:20:00+0000,25054.03
2016-06-12 11:25:00+0000,25941.84
2016-06-12 11:30:00+0000,26958.0
2016-06-12 11:35:00+0000,25390.7
2016-06-12 11:40:00+0000,24181.73
2016-06-12 11:45:00+0000,25127.03
2016-06-12 11:50:00+0000,24571.87
2016-06-12 11:55:00+0000,27728.2
2016-06-12 12:00:00+0000,25261.71
